year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
1991,64,North Carolina,1,101,Northeastern,16,66
1991,64,Villanova,9,50,Princeton,8,48
1991,64,Eastern Michigan,12,76,Mississippi State,5,56
1991,64,Penn State,13,74,UCLA,4,69
1991,64,NC State,6,114,Southern Miss,11,85
1991,64,Oklahoma State,3,67,New Mexico,14,54
1991,64,Temple,10,80,Purdue,7,63
1991,64,Richmond,15,73,Syracuse,2,69
1991,32,North Carolina,1,84,Villanova,9,69
1991,32,Eastern Michigan,12,71,Penn State,13,68
1991,32,Oklahoma State,3,73,NC State,6,64
1991,32,Temple,10,77,Richmond,15,64
1991,16,North Carolina,1,93,Eastern Michigan,12,67
1991,16,Temple,10,72,Oklahoma State,3,63
1991,8,North Carolina,1,75,Temple,10,72
1991,64,Arkansas,1,117,Georgia State,16,76
1991,64,Arizona State,8,79,Rutgers,9,76
1991,64,Wake Forest,5,71,Louisiana Tech,12,65
1991,64,Alabama,4,89,Murray State,13,79
1991,64,Pittsburgh,6,76,Georgia,11,68
1991,64,Kansas,3,55,New Orleans,14,49
1991,64,Florida State,7,75,USC,10,72
1991,64,Indiana,2,79,Coastal Carolina,15,69
1991,32,Arkansas,1,97,Arizona State,8,90
1991,32,Alabama,4,96,Wake Forest,5,88
1991,32,Kansas,3,77,Pittsburgh,6,66
1991,32,Indiana,2,82,Florida State,7,60
1991,16,Arkansas,1,93,Alabama,4,70
1991,16,Kansas,3,83,Indiana,2,65
1991,8,Kansas,3,93,Arkansas,1,81
1991,64,Ohio State,1,97,Towson State,16,86
1991,64,Georgia Tech,8,87,DePaul,9,70
1991,64,Texas,5,73,Saint Peter's,12,65
1991,64,St. John's,4,75,Northern Illinois,13,68
1991,64,Connecticut,11,79,LSU,6,62
1991,64,Xavier,14,89,Nebraska,3,84
1991,64,Iowa,7,76,East Tennessee State,10,73
1991,64,Duke,2,102,Northeast Louisiana,15,73
1991,32,Ohio State,1,65,Georgia Tech,8,61
1991,32,St. John's,4,84,Texas,5,76
1991,32,Connecticut,11,66,Xavier,14,50
1991,32,Duke,2,85,Iowa,7,70
1991,16,St. John's,4,91,Ohio State,1,74
1991,16,Duke,2,81,Connecticut,11,67
1991,8,Duke,2,78,St. John's,4,61
1991,64,UNLV,1,99,Montana,16,65
1991,64,Georgetown,8,70,Vanderbilt,9,60
1991,64,Michigan State,5,60,Wisconsin–Green Bay,12,58
1991,64,Utah,4,82,South Alabama,13,72
1991,64,Creighton,11,64,New Mexico State,6,56
1991,64,Seton Hall,3,71,Pepperdine,14,51
1991,64,BYU,10,61,Virginia,7,48
1991,64,Arizona,2,93,Saint Francis (PA),15,80
1991,32,UNLV,1,62,Georgetown,8,54
1991,32,Utah,4,85,Michigan State,5,84
1991,32,Seton Hall,3,81,Creighton,11,69
1991,32,Arizona,2,76,BYU,10,61
1991,16,UNLV,1,83,Utah,4,66
1991,16,Seton Hall,3,81,Arizona,2,77
1991,8,UNLV,1,77,Seton Hall,3,65
1991,4,Kansas,3,79,North Carolina,1,73
1991,4,Duke,2,79,UNLV,1,77
1991,2,Duke,2,72,Kansas,3,65
