year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
1989,64,Georgetown,1,50,Princeton,16,49
1989,64,Notre Dame,9,81,Vanderbilt,8,65
1989,64,NC State,5,81,South Carolina,12,66
1989,64,Iowa,4,87,Rutgers,13,73
1989,64,Minnesota,11,86,Kansas State,6,75
1989,64,Siena,14,80,Stanford,3,78
1989,64,West Virginia,7,84,Tennessee,10,68
1989,64,Duke,2,90,South Carolina State,15,69
1989,32,Georgetown,1,81,Notre Dame,9,74
1989,32,NC State,5,102,Iowa,4,96
1989,32,Minnesota,11,80,Siena,14,67
1989,32,Duke,2,70,West Virginia,7,63
1989,16,Georgetown,1,69,NC State,5,61
1989,16,Duke,2,87,Minnesota,11,70
1989,8,Duke,2,85,Georgetown,1,77
1989,64,Arizona,1,94,Robert Morris,16,60
1989,64,Clemson,9,83,Saint Mary's,8,70
1989,64,DePaul,12,66,Memphis State,5,63
1989,64,UNLV,4,68,Idaho,13,56
1989,64,Evansville,11,94,Oregon State,6,90
1989,64,Seton Hall,3,60,Southwest Missouri State,14,51
1989,64,UTEP,7,85,LSU,10,74
1989,64,Indiana,2,99,George Mason,15,85
1989,32,Arizona,1,94,Clemson,9,68
1989,32,UNLV,4,85,DePaul,12,70
1989,32,Seton Hall,3,87,Evansville,11,73
1989,32,Indiana,2,92,UTEP,7,69
1989,16,UNLV,4,68,Arizona,1,67
1989,16,Seton Hall,3,78,Indiana,2,65
1989,8,Seton Hall,3,84,UNLV,4,61
1989,64,Oklahoma,1,72,East Tennessee State,16,71
1989,64,Louisiana Tech,9,83,La Salle,8,74
1989,64,Virginia,5,100,Providence,12,97
1989,64,Middle Tennessee State,13,97,Florida State,4,83
1989,64,South Alabama,11,86,Alabama,6,84
1989,64,Michigan,3,92,Xavier,14,87
1989,64,UCLA,7,84,Iowa State,10,74
1989,64,North Carolina,2,93,Southern,15,79
1989,32,Oklahoma,1,124,Louisiana Tech,9,81
1989,32,Virginia,5,104,Middle Tennessee State,13,88
1989,32,Michigan,3,91,South Alabama,11,82
1989,32,North Carolina,2,88,UCLA,7,81
1989,16,Virginia,5,86,Oklahoma,1,80
1989,16,Michigan,3,92,North Carolina,2,87
1989,8,Michigan,3,102,Virginia,5,65
1989,64,Illinois,1,77,McNeese State,16,71
1989,64,Ball State,9,68,Pittsburgh,8,64
1989,64,Arkansas,5,120,Loyola Marymount,12,101
1989,64,Louisville,4,76,Arkansas–Little Rock,13,71
1989,64,Texas,11,76,Georgia Tech,6,70
1989,64,Missouri,3,85,Creighton,14,69
1989,64,Colorado State,10,68,Florida,7,46
1989,64,Syracuse,2,104,Bucknell,15,81
1989,32,Illinois,1,72,Ball State,9,60
1989,32,Louisville,4,93,Arkansas,5,84
1989,32,Missouri,3,108,Texas,11,89
1989,32,Syracuse,2,65,Colorado State,10,50
1989,16,Illinois,1,83,Louisville,4,69
1989,16,Syracuse,2,83,Missouri,3,80
1989,8,Illinois,1,89,Syracuse,2,86
1989,4,Seton Hall,3,95,Duke,2,78
1989,4,Michigan,3,83,Illinois,1,81
1989,2,Michigan,3,80,Seton Hall,3,79
