year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
1985,64,Georgetown,1,68,Lehigh,16,43
1985,64,Virginia Tech,9,87,Temple,8,60
1985,64,SMU,5,85,Old Dominion,12,68
1985,64,Loyola–Chicago,4,59,Iona,13,58
1985,64,Georgia,6,67,Wichita State,11,59
1985,64,Illinois,3,76,Northeastern,14,57
1985,64,Syracuse,7,70,DePaul,10,65
1985,64,Georgia Tech,2,65,Mercer,15,58
1985,32,Georgetown,1,63,Virginia Tech,9,46
1985,32,Loyola Chicago,4,70,SMU,5,57
1985,32,Illinois,3,74,Georgia,6,58
1985,32,Georgia Tech,2,70,Syracuse,7,53
1985,16,Georgetown,1,65,Loyola Chicago,4,53
1985,16,Georgia Tech,2,61,Illinois,3,53
1985,8,Georgetown,1,60,Georgia Tech,2,54
1985,64,St John's,1,83,Southern,16,59
1985,64,Arkansas,9,63,Iowa,8,54
1985,64,Kentucky,12,66,Washington,5,58
1985,64,UNLV,4,85,San Diego State,13,80
1985,64,UTEP,11,79,Tulsa,6,75
1985,64,NC State,3,65,Nevada,14,56
1985,64,Alabama,7,50,Arizona,10,41
1985,64,VCU,2,81,Marshall,15,65
1985,32,St John's,1,68,Arkansas,9,65
1985,32,Kentucky,12,64,UNLV,4,61
1985,32,NC State,3,86,UTEP,11,73
1985,32,Alabama,7,63,VCU,2,59
1985,16,St John's,1,86,Kentucky,12,70
1985,16,NC State,3,61,Alabama,7,55
1985,8,St. John's,1,69,NC State,3,60
1985,64,Michigan,1,59,Fairleigh Dickinson,16,55
1985,64,Villanova,8,51,Dayton,9,49
1985,64,Maryland,5,69,Miami (OH),12,68
1985,64,Navy,13,78,LSU,4,55
1985,64,Auburn,11,59,Purdue,6,58
1985,64,Kansas,3,49,Ohio,14,38
1985,64,Notre Dame,7,79,Oregon State,10,70
1985,64,North Carolina,2,76,Middle Tennessee State,15,57
1985,32,Villanova,8,59,Michigan,1,55
1985,32,Maryland,5,64,Navy,13,59
1985,32,Auburn,11,66,Kansas,3,64
1985,32,North Carolina,2,60,Notre Dame,7,58
1985,16,Villanova,8,46,Maryland,5,43
1985,16,North Carolina,2,62,Auburn,11,56
1985,8,Villanova,8,56,North Carolina,2,44
1985,64,Oklahoma,1,96,North Carolina A&T,16,83
1985,64,Illinois State,9,58,USC,8,55
1985,64,Louisiana Tech,5,78,Pittsburgh,12,54
1985,64,Ohio State,4,75,Iowa State,13,64
1985,64,Boston College,11,55,Texas Tech,6,53
1985,64,Duke,3,75,Pepperdine,14,62
1985,64,UAB,7,70,Michigan State,10,68
1985,64,Memphis State#,2,67,Penn,15,55
1985,32,Oklahoma,1,75,Illinois State,9,69
1985,32,Louisiana Tech,5,79,Ohio State,4,67
1985,32,Boston College,11,74,Duke,3,73
1985,32,Memphis State#,2,67,UAB,7,66
1985,16,Oklahoma,1,86,Louisiana Tech,5,84
1985,16,Memphis State#,2,59,Boston College,11,57
1985,8,Memphis State#,2,63,Oklahoma,1,61
1985,4,Georgetown,1,77,St Johns,1,59
1985,4,Villanova,8,52,Memphis St. #,2,45
1985,2,Villanova,8,66,Georgetown,1,64
